MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
13.518	-0.689	4.896	5.515	0.549	3.280	2.269	17.262	9.662	6.529	-8.005	1.288	5.485	1.212	-9.639	5.910
12.522	0.311	3.886	4.514	0.548	3.281	2.274	15.251	10.659	4.531	-7.009	2.296	5.476	0.206	-9.634	4.902
10.526	0.312	2.877	2.512	0.548	3.281	2.279	12.240	11.656	1.532	-6.013	3.305	5.467	-0.799	-8.628	2.895
8.530	3.313	0.867	2.511	0.548	3.281	3.284	10.230	12.654	-2.466	-5.016	4.314	6.457	-1.804	-7.623	1.888
6.534	4.314	-2.142	2.510	-0.453	3.282	3.290	7.219	14.651	-6.464	-3.020	5.322	6.448	-2.809	-7.618	-1.120
3.538	6.315	-2.152	2.508	-0.453	3.282	3.295	5.208	14.648	-10.463	-1.024	6.331	6.438	-2.814	-6.613	-4.127
1.542	7.315	-3.161	2.507	-1.454	4.283	3.300	3.198	14.645	-19.461	1.973	7.340	6.429	-1.819	-5.608	-9.135
-1.454	9.316	-4.171	3.506	-1.454	5.283	4.305	0.187	14.642	-23.459	3.969	9.348	6.420	-1.824	-5.603	-13.142
-4.450	11.317	-6.180	5.504	-2.455	5.283	3.310	0.176	13.639	-27.458	7.966	10.357	5.410	-0.830	-4.598	-13.149
-9.446	12.318	-6.190	6.503	-2.455	5.284	3.315	-0.834	12.636	-27.456	7.962	11.366	5.401	0.165	-4.592	-18.157
-11.442	14.319	-6.200	8.501	-2.456	6.284	2.320	-1.845	12.633	-34.454	10.958	11.374	4.391	2.160	-3.587	-21.164
-11.438	15.319	-4.209	10.500	-2.456	6.285	2.325	-1.856	11.630	-36.453	10.955	11.383	4.382	3.155	-3.582	-23.172
-14.434	16.320	-3.219	12.499	-1.457	5.285	1.330	-2.866	7.627	-36.451	10.951	11.392	3.372	3.150	-3.577	-24.179
-15.430	17.321	-1.228	13.497	-0.457	4.285	0.335	-2.877	6.625	-38.449	9.947	11.400	2.363	4.145	-2.572	-25.186
-16.426	17.322	0.762	13.496	0.543	2.286	-1.660	-1.888	4.622	-39.448	7.944	10.409	2.354	4.140	-2.567	-25.194
