# MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
4.550717548777273580e-02	-7.911546796144298954e-02	4.840394884391783364e-02	-4.055238144702196651e-02	-3.664676675211366724e-02	9.007642893096952375e-02	-4.979426228824673784e-02	4.657201862964673034e-02	-9.589874891686410441e-02	1.401156470108942328e-02	7.965074190159321388e-02	7.496757692213081026e-02	-4.031671416664136046e-03	-5.206905326694381136e-02	7.399492695166331319e-03	4.016285891936387242e-02
3.749391935216855182e-02	5.703783421207964111e-02	2.448828663930362887e-02	-2.763937883741520579e-02	7.542387235154986158e-02	6.117369274891319708e-02	4.324260777175730625e-02	-3.986652970648044830e-02	1.683621016072081936e-02	1.397160314298730686e-02	5.259114903634717897e-03	3.193203231995927170e-03	-2.571883101453830214e-03	3.871225498253379887e-02	-2.731891368300980519e-02	-3.749301438598968972e-02
5.680669370015591774e-02	6.230318365696251373e-03	3.945478056202439930e-03	-6.166583541657465195e-03	8.020211120887524303e-02	2.119586042939132151e-02	-4.455580184594207238e-02	-1.093851230802316346e-02	2.527301808241644299e-02	1.160057371492646261e-01	-3.660208715005270480e-02	3.915295987475667094e-02	6.738129441424552113e-02	8.458719372446460438e-02	-2.139537081621144254e-02	3.338610635660021683e-03
3.596110804309935946e-03	1.309984156833511257e-02	1.250779046745150239e-02	5.400085371728425600e-03	-4.745960380451087757e-02	-6.098471780290594391e-02	4.153126009593336582e-02	4.319197253092604827e-02	1.062975959059132280e-01	2.959134469556486818e-02	1.131567809794011698e-02	-1.205795177007718336e-02	-2.601958067009031358e-02	-6.581916240004391516e-02	-6.031300218756060344e-02	2.427725611076327408e-02
4.105698222235791561e-02	1.218126615652270761e-02	-8.583426281806530445e-02	5.943581530768161925e-02	2.016499894333903878e-02	-4.890436195550819376e-02	7.799449897131613407e-02	1.863569289230299075e-02	-4.236682018948867423e-02	-2.254828815091288689e-04	-1.555641336460172539e-02	1.034868620953986046e-01	7.144087652956364332e-02	-4.935774466174898401e-02	-6.232658205048305367e-02	7.546007969699652929e-02
8.598304791230687583e-02	-4.367753165202669513e-02	8.117043638398606376e-02	2.445626746038750618e-02	-9.260710936951389860e-02	-1.079153786542536991e-01	-6.378691541649376961e-02	2.907660884624627823e-02	-1.347632498597074388e-02	-1.275351730942106583e-02	4.736370506851395046e-02	-3.938313015767493097e-02	5.788539620843333178e-02	3.737408379411230608e-02	1.023239169926280362e-01	8.778421766080062028e-02
3.648649216641858262e-02	2.675508533811213688e-02	-2.232079782158352677e-02	-8.082901803408619468e-02	-1.218590028062801339e-01	3.912768233930750267e-02	-5.511962074201923883e-02	7.880082040565822288e-02	-6.295920905707171056e-02	3.707120260354050678e-02	1.641641239755934484e-02	3.126255229748124004e-02	9.937940127843503113e-02	-1.104068906553570401e-01	-3.014965873048042200e-02	2.142873401709139564e-02
-3.359998101626317235e-02	2.688911492155452235e-02	-2.496056258779765294e-02	-9.954384775326164531e-03	2.733534873640885640e-02	-4.321242349156621115e-02	1.404491394909869462e-02	-3.414310655026490254e-02	-7.048762113117101880e-02	4.133058497506540696e-02	-1.061729671885858622e-01	-4.170993547364802712e-02	9.656873411683067343e-02	3.009884565178570781e-02	7.838078486302925418e-02	-7.739805970825271511e-03
1.644599308412757546e-02	2.152774585529572751e-02	-3.046835585739236796e-02	3.431308646921571448e-02	-2.249021585574069795e-02	7.816889707230537110e-02	-5.828285444466808907e-02	1.548465931794792104e-02	3.791798896889653908e-02	2.472565950900841233e-02	-1.502640464565851118e-02	3.693906260523574514e-02	-6.488154150663540121e-02	-2.501671570854513069e-02	-6.152151268554750807e-02	-1.033740620578004199e-01
7.994941529857193044e-03	5.326054360874091231e-02	4.938078940902811825e-02	6.621756597561077873e-02	3.823477225858840783e-02	-6.183156156524816788e-02	-5.349912632208737862e-02	5.415412928734732179e-02	-8.272171707128733731e-02	1.550218053884634163e-02	-3.868384588864057227e-02	-1.654143326903018477e-02	-6.085215969374666717e-02	-8.647146907960326367e-02	3.664166145573328343e-02	5.286858554310155250e-02
